,X,Twilight,Rise,Deleted,Marker,Inserted,Twilight3,Marker3
1,1,08/07/2016 11:34,FALSE,FALSE,0,FALSE,08/07/2016 11:34,0
2,2,08/07/2016 13:27,TRUE,FALSE,0,FALSE,08/07/2016 12:45,0
3,3,09/07/2016 11:26,FALSE,FALSE,0,FALSE,09/07/2016 11:26,0
4,4,09/07/2016 13:24,TRUE,FALSE,0,FALSE,09/07/2016 13:24,0
5,5,10/07/2016 11:30,FALSE,FALSE,0,FALSE,10/07/2016 10:50,0
6,6,10/07/2016 13:36,TRUE,FALSE,0,FALSE,10/07/2016 13:59,0
7,7,11/07/2016 11:25,FALSE,FALSE,0,FALSE,11/07/2016 11:25,0
8,8,11/07/2016 13:40,TRUE,FALSE,0,FALSE,11/07/2016 13:15,0
9,9,12/07/2016 11:14,FALSE,FALSE,0,FALSE,12/07/2016 11:14,0
10,10,12/07/2016 13:45,TRUE,FALSE,0,FALSE,12/07/2016 13:45,0
11,11,13/07/2016 11:02,FALSE,FALSE,0,FALSE,13/07/2016 10:18,0
12,12,13/07/2016 13:35,TRUE,FALSE,0,FALSE,13/07/2016 13:35,0
13,13,14/07/2016 10:54,FALSE,FALSE,0,FALSE,14/07/2016 10:54,0
14,14,14/07/2016 13:54,TRUE,FALSE,0,FALSE,14/07/2016 13:54,0
15,15,15/07/2016 10:57,FALSE,FALSE,0,FALSE,15/07/2016 10:57,0
16,16,15/07/2016 14:02,TRUE,FALSE,0,FALSE,15/07/2016 14:02,0
17,17,16/07/2016 10:41,FALSE,FALSE,0,FALSE,16/07/2016 10:41,0
18,18,16/07/2016 13:40,TRUE,FALSE,0,FALSE,16/07/2016 13:40,0
19,19,17/07/2016 10:40,FALSE,FALSE,0,FALSE,17/07/2016 10:40,0
20,20,17/07/2016 14:02,TRUE,FALSE,0,FALSE,17/07/2016 14:02,0
21,21,18/07/2016 10:57,FALSE,FALSE,0,FALSE,18/07/2016 10:57,0
22,22,18/07/2016 13:44,TRUE,FALSE,0,FALSE,18/07/2016 13:44,0
23,23,19/07/2016 10:14,FALSE,FALSE,0,FALSE,19/07/2016 10:14,0
24,24,19/07/2016 13:55,TRUE,FALSE,0,FALSE,19/07/2016 13:55,0
25,25,20/07/2016 10:40,FALSE,FALSE,0,FALSE,20/07/2016 10:40,0
26,26,20/07/2016 14:05,TRUE,FALSE,0,FALSE,20/07/2016 14:05,0
27,27,21/07/2016 10:31,FALSE,FALSE,0,FALSE,21/07/2016 10:31,0
28,28,21/07/2016 14:09,TRUE,FALSE,0,FALSE,21/07/2016 14:09,0
29,29,22/07/2016 10:03,FALSE,FALSE,0,FALSE,22/07/2016 10:03,0
30,30,22/07/2016 13:37,TRUE,FALSE,0,FALSE,22/07/2016 13:37,0
31,31,23/07/2016 10:07,FALSE,FALSE,0,FALSE,23/07/2016 10:07,0
32,32,23/07/2016 13:45,TRUE,FALSE,0,FALSE,23/07/2016 13:45,0
33,33,24/07/2016 10:39,FALSE,FALSE,0,FALSE,24/07/2016 10:39,0
34,34,24/07/2016 14:50,TRUE,FALSE,0,FALSE,24/07/2016 14:50,0
35,35,25/07/2016 10:27,FALSE,FALSE,0,FALSE,25/07/2016 10:27,0
36,36,25/07/2016 14:22,TRUE,FALSE,0,FALSE,25/07/2016 14:22,0
37,37,26/07/2016 10:14,FALSE,FALSE,0,FALSE,26/07/2016 10:14,0
38,38,26/07/2016 15:19,TRUE,FALSE,0,FALSE,26/07/2016 15:19,0
39,39,27/07/2016 10:14,FALSE,FALSE,0,FALSE,27/07/2016 10:14,0
40,40,27/07/2016 15:13,TRUE,FALSE,0,FALSE,27/07/2016 15:13,0
41,41,28/07/2016 10:22,FALSE,FALSE,0,FALSE,28/07/2016 10:22,0
42,42,28/07/2016 15:39,TRUE,FALSE,0,FALSE,28/07/2016 15:39,0
43,43,29/07/2016 10:39,FALSE,FALSE,0,FALSE,29/07/2016 10:39,0
44,44,29/07/2016 15:52,TRUE,FALSE,0,FALSE,29/07/2016 15:52,0
45,45,30/07/2016 10:14,FALSE,FALSE,0,FALSE,30/07/2016 10:14,0
46,46,30/07/2016 16:16,TRUE,FALSE,0,FALSE,30/07/2016 16:16,0
47,47,31/07/2016 10:10,FALSE,FALSE,0,FALSE,31/07/2016 10:10,0
48,48,31/07/2016 16:24,TRUE,FALSE,0,FALSE,31/07/2016 16:24,0
49,49,01/08/2016 10:04,FALSE,FALSE,0,FALSE,01/08/2016 10:04,0
50,50,01/08/2016 16:09,TRUE,FALSE,0,FALSE,01/08/2016 16:09,0
51,51,02/08/2016 10:17,FALSE,FALSE,0,FALSE,02/08/2016 10:17,0
52,52,02/08/2016 16:39,TRUE,FALSE,0,FALSE,02/08/2016 16:39,0
53,53,03/08/2016 10:20,FALSE,FALSE,0,FALSE,03/08/2016 10:20,0
54,54,03/08/2016 18:04,TRUE,FALSE,0,FALSE,03/08/2016 18:04,0
55,55,04/08/2016 10:31,FALSE,FALSE,0,FALSE,04/08/2016 10:31,0
56,56,04/08/2016 18:07,TRUE,FALSE,0,FALSE,04/08/2016 18:07,0
57,57,05/08/2016 10:42,FALSE,FALSE,0,FALSE,05/08/2016 10:42,0
58,58,05/08/2016 18:07,TRUE,FALSE,0,FALSE,05/08/2016 18:07,0
59,59,06/08/2016 10:35,FALSE,FALSE,0,FALSE,06/08/2016 10:35,0
60,60,06/08/2016 18:31,TRUE,FALSE,0,FALSE,06/08/2016 18:31,0
61,61,07/08/2016 10:22,FALSE,FALSE,0,FALSE,07/08/2016 10:22,0
62,62,07/08/2016 18:47,TRUE,FALSE,0,FALSE,07/08/2016 18:47,0
63,63,08/08/2016 10:27,FALSE,FALSE,0,FALSE,08/08/2016 10:27,0
64,64,08/08/2016 18:46,TRUE,FALSE,0,FALSE,08/08/2016 18:46,0
65,65,09/08/2016 10:10,FALSE,FALSE,0,FALSE,09/08/2016 10:10,0
66,66,09/08/2016 19:05,TRUE,FALSE,0,FALSE,09/08/2016 19:05,0
67,67,10/08/2016 10:23,FALSE,FALSE,0,FALSE,10/08/2016 10:23,0
68,68,10/08/2016 19:14,TRUE,FALSE,0,FALSE,10/08/2016 19:14,0
69,69,11/08/2016 10:12,FALSE,FALSE,0,FALSE,11/08/2016 10:12,0
70,70,11/08/2016 19:20,TRUE,FALSE,0,FALSE,11/08/2016 19:20,0
71,71,12/08/2016 10:09,FALSE,FALSE,0,FALSE,12/08/2016 10:09,0
72,72,12/08/2016 19:15,TRUE,FALSE,0,FALSE,12/08/2016 19:15,0
73,73,13/08/2016 10:03,FALSE,FALSE,0,FALSE,13/08/2016 10:03,0
74,74,13/08/2016 19:11,TRUE,FALSE,0,FALSE,13/08/2016 19:11,0
75,75,14/08/2016 10:00,FALSE,FALSE,0,FALSE,14/08/2016 10:00,0
76,76,14/08/2016 19:10,TRUE,FALSE,0,FALSE,14/08/2016 19:10,0
77,77,15/08/2016 09:55,FALSE,FALSE,0,FALSE,15/08/2016 09:55,0
78,78,15/08/2016 19:21,TRUE,FALSE,0,FALSE,15/08/2016 19:21,0
79,79,16/08/2016 09:49,FALSE,FALSE,0,FALSE,16/08/2016 09:49,0
80,80,16/08/2016 19:18,TRUE,FALSE,0,FALSE,16/08/2016 19:18,0
81,81,17/08/2016 09:40,FALSE,FALSE,0,FALSE,17/08/2016 09:40,0
82,82,17/08/2016 19:19,TRUE,FALSE,0,FALSE,17/08/2016 19:19,0
83,83,18/08/2016 09:56,FALSE,FALSE,0,FALSE,18/08/2016 09:56,0
84,84,18/08/2016 19:27,TRUE,FALSE,0,FALSE,18/08/2016 19:27,0
85,85,19/08/2016 09:54,FALSE,FALSE,0,FALSE,19/08/2016 09:54,0
86,86,19/08/2016 19:34,TRUE,FALSE,0,FALSE,19/08/2016 19:34,0
87,87,20/08/2016 09:51,FALSE,FALSE,0,FALSE,20/08/2016 09:51,0
