"","tFirst","tSecond","type"
"1",2016-07-08 11:34:17,2016-07-08 12:45:51,2
"2",2016-07-08 12:45:51,2016-07-09 11:26:17,1
"3",2016-07-09 11:26:17,2016-07-09 13:24:01,2
"4",2016-07-09 13:24:01,2016-07-10 10:50:26,1
"5",2016-07-10 10:50:26,2016-07-10 13:59:39,2
"6",2016-07-10 13:59:39,2016-07-11 11:25:37,1
"7",2016-07-11 11:25:37,2016-07-11 13:15:52,2
"8",2016-07-11 13:15:52,2016-07-12 11:14:21,1
"11",2016-07-13 13:35:54,2016-07-14 10:54:22,1
"12",2016-07-14 10:54:22,2016-07-14 13:54:41,2
"13",2016-07-14 13:54:41,2016-07-15 10:57:17,1
"14",2016-07-15 10:57:17,2016-07-15 14:02:12,2
"15",2016-07-15 14:02:12,2016-07-16 10:41:03,1
"16",2016-07-16 10:41:03,2016-07-16 13:40:55,2
"17",2016-07-16 13:40:55,2016-07-17 10:40:41,1
"18",2016-07-17 10:40:41,2016-07-17 14:02:13,2
"19",2016-07-17 14:02:13,2016-07-18 10:57:18,1
"20",2016-07-18 10:57:18,2016-07-18 13:44:43,2
"21",2016-07-18 13:44:43,2016-07-19 10:14:24,1
"22",2016-07-19 10:14:24,2016-07-19 13:55:57,2
"23",2016-07-19 13:55:57,2016-07-20 10:40:42,1
"24",2016-07-20 10:40:42,2016-07-20 14:05:14,2
"25",2016-07-20 14:05:14,2016-07-21 10:31:56,1
"26",2016-07-21 10:31:56,2016-07-21 14:09:45,2
"27",2016-07-21 14:09:45,2016-07-22 10:03:00,1
"28",2016-07-22 10:03:00,2016-07-22 13:37:36,2
"29",2016-07-22 13:37:36,2016-07-23 10:07:21,1
"30",2016-07-23 10:07:21,2016-07-23 13:45:59,2
"33",2016-07-25 10:27:22,2016-07-25 14:22:17,2
"34",2016-07-25 14:22:17,2016-07-26 10:14:29,1
"35",2016-07-26 10:14:29,2016-07-26 15:19:48,2
"36",2016-07-26 15:19:48,2016-07-27 10:14:56,1
"37",2016-07-27 10:14:56,2016-07-27 15:13:50,2
"38",2016-07-27 15:13:50,2016-07-28 10:22:24,1
"39",2016-07-28 10:22:24,2016-07-28 15:39:18,2
"40",2016-07-28 15:39:18,2016-07-29 10:39:30,1
"41",2016-07-29 10:39:30,2016-07-29 15:52:19,2
"42",2016-07-29 15:52:19,2016-07-30 10:14:31,1
"43",2016-07-30 10:14:31,2016-07-30 16:16:57,2
"44",2016-07-30 16:16:57,2016-07-31 10:10:37,1
"45",2016-07-31 10:10:37,2016-07-31 16:24:12,2
"46",2016-07-31 16:24:12,2016-08-01 10:04:31,1
"47",2016-08-01 10:04:31,2016-08-01 16:09:51,2
"48",2016-08-01 16:09:51,2016-08-02 10:17:02,1
"49",2016-08-02 10:17:02,2016-08-02 16:39:52,2
"50",2016-08-02 16:39:52,2016-08-03 10:20:50,1
"51",2016-08-03 10:20:50,2016-08-03 18:04:03,2
"52",2016-08-03 18:04:03,2016-08-04 10:31:14,1
"53",2016-08-04 10:31:14,2016-08-04 18:07:08,2
"54",2016-08-04 18:07:08,2016-08-05 10:42:28,1
