X,Y
454225.60855918366,1198153.8890059814
454261.6724538998,1198103.7130035067
454393.3845974761,1198001.7930044637
454219.3364536933,1197862.2410200732
454198.9524344407,1197728.9610438978
454322.82451101806,1197625.473050846
454407.49651114235,1197711.7130125565
453839.88054418913,1197661.537010723
453918.2805681868,1197681.9210298005
453919.84852982336,1197567.4570464382
454330.6647071022,1197470.24102916
454211.4965154767,1197288.3530123713
454024.9046780626,1197324.4170365315
454076.6485775595,1197252.2890531588
454299.3046973879,1197304.0330170786
454340.0727356646,1197256.993067233
454360.4564963873,1197209.9530528123
454387.1126207683,1197137.8250694654
454490.6006783396,1197239.7450359536
454534.50464015536,1197329.1210503436
453719.1443907183,1197307.1690057379
453518.44063935464,1197244.4489867555
453430.6324574662,1197260.128991648
453637.6085722505,1196971.6170581528
453863.40048635285,1197068.8330101476
453998.24855338375,1196987.297062563
454120.55266840314,1197106.464995555
454120.55266827525,1196930.8490193135
453985.7046011644,1196902.6250625001
454211.4965152095,1196921.4411196986
454180.1362471266,1196796.0010813351
454249.1286299323,1196717.6011864578
454023.3364575206,1196742.6890910228
453828.9045530109,1196644.6891581314
454057.8323904159,1196553.7450525255
454224.0407254817,1196531.793071469
448196.12956686894,1195909.7219365805
448588.12955761224,1195944.2179338026
448526.9775000992,1195881.497946969
448528.54559094564,1195782.713936106
448677.5055719886,1195883.0659408276
448690.0495240935,1195810.9379574961
448787.26547637844,1195901.8819335517
448908.0015004084,1195922.2659525822
448984.8335625965,1195818.7779595784
448288.6415046195,1195759.1939291668
448459.55359565496,1195748.2179385398
448766.88158621045,1195610.2339476554
448848.417533612,1195582.00992601
448824.8975909691,1195516.1539833946
448901.729523998,1195469.1139689146
448945.6334857466,1195464.4099545078
448641.44154769636,1195417.3699404341
448774.7215238211,1195353.0819593712
448280.80156670173,1195596.121905096
448083.23373887734,1195671.3858766663
448290.2098536323,1195340.537943128
448384.28962384263,1195105.3379356328
448189.8577193596,1195045.7539046814
448710.43367194437,1195121.0179400835
448895.45780615706,1195249.5939017222
448904.8658347871,1195127.289915955
448951.9057199343,1195067.7059493465
448867.2337198552,1195045.7539039562
449041.2817342728,1194954.8099276114
449155.7457821899,1194929.721926269
449196.51369121135,1194805.849914146
449252.96173413104,1194548.3059353794
449494.4337822246,1194637.681949561
449434.8496862512,1194327.217906268
449367.42565261293,1194200.209906223
449234.145676385,1194123.3778440861
449455.2337052796,1194153.1698917302
449867.6177153236,1194388.3699632867
449615.169676909,1194458.9299205549
449721.7936578374,1194446.3859036805
449953.8576773058,1194662.7699179926
449593.2176962687,1194780.7619448032
449644.9617251045,1194899.9299424659
448167.74902035546,1195764.8386754647
