"","Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
"1",2016-07-08 11:34:17,FALSE,FALSE,0,FALSE,2016-07-08 11:34:17,0
"2",2016-07-08 13:27:47,TRUE,FALSE,0,FALSE,2016-07-08 12:45:51,0
"3",2016-07-09 11:26:17,FALSE,FALSE,0,FALSE,2016-07-09 11:26:17,0
"4",2016-07-09 13:24:01,TRUE,FALSE,0,FALSE,2016-07-09 13:24:01,0
"5",2016-07-10 11:30:32,FALSE,FALSE,0,FALSE,2016-07-10 10:50:26,0
"6",2016-07-10 13:36:35,TRUE,FALSE,0,FALSE,2016-07-10 13:59:39,0
"7",2016-07-11 11:25:37,FALSE,FALSE,0,FALSE,2016-07-11 11:25:37,0
"8",2016-07-11 13:40:14,TRUE,FALSE,0,FALSE,2016-07-11 13:15:52,0
"9",2016-07-12 11:14:21,FALSE,FALSE,0,FALSE,2016-07-12 11:14:21,0
"10",2016-07-12 13:45:53,TRUE,FALSE,0,FALSE,2016-07-12 13:45:53,0
"11",2016-07-13 11:02:40,FALSE,FALSE,0,FALSE,2016-07-13 10:18:06,0
"12",2016-07-13 13:35:54,TRUE,FALSE,0,FALSE,2016-07-13 13:35:54,0
"13",2016-07-14 10:54:22,FALSE,FALSE,0,FALSE,2016-07-14 10:54:22,0
"14",2016-07-14 13:54:41,TRUE,FALSE,0,FALSE,2016-07-14 13:54:41,0
"15",2016-07-15 10:57:17,FALSE,FALSE,0,FALSE,2016-07-15 10:57:17,0
"16",2016-07-15 14:02:12,TRUE,FALSE,0,FALSE,2016-07-15 14:02:12,0
"17",2016-07-16 10:41:03,FALSE,FALSE,0,FALSE,2016-07-16 10:41:03,0
"18",2016-07-16 13:40:55,TRUE,FALSE,0,FALSE,2016-07-16 13:40:55,0
"19",2016-07-17 10:40:41,FALSE,FALSE,0,FALSE,2016-07-17 10:40:41,0
"20",2016-07-17 14:02:13,TRUE,FALSE,0,FALSE,2016-07-17 14:02:13,0
"21",2016-07-18 10:57:18,FALSE,FALSE,0,FALSE,2016-07-18 10:57:18,0
"22",2016-07-18 13:44:43,TRUE,FALSE,0,FALSE,2016-07-18 13:44:43,0
"23",2016-07-19 10:14:24,FALSE,FALSE,0,FALSE,2016-07-19 10:14:24,0
"24",2016-07-19 13:55:57,TRUE,FALSE,0,FALSE,2016-07-19 13:55:57,0
"25",2016-07-20 10:40:42,FALSE,FALSE,0,FALSE,2016-07-20 10:40:42,0
"26",2016-07-20 14:05:14,TRUE,FALSE,0,FALSE,2016-07-20 14:05:14,0
"27",2016-07-21 10:31:56,FALSE,FALSE,0,FALSE,2016-07-21 10:31:56,0
"28",2016-07-21 14:09:45,TRUE,FALSE,0,FALSE,2016-07-21 14:09:45,0
"29",2016-07-22 10:03:00,FALSE,FALSE,0,FALSE,2016-07-22 10:03:00,0
"30",2016-07-22 13:37:36,TRUE,FALSE,0,FALSE,2016-07-22 13:37:36,0
"31",2016-07-23 10:07:21,FALSE,FALSE,0,FALSE,2016-07-23 10:07:21,0
"32",2016-07-23 13:45:59,TRUE,FALSE,0,FALSE,2016-07-23 13:45:59,0
"33",2016-07-24 10:39:26,FALSE,FALSE,0,FALSE,2016-07-24 10:39:26,0
"34",2016-07-24 14:50:08,TRUE,FALSE,0,FALSE,2016-07-24 14:50:08,0
"35",2016-07-25 10:27:22,FALSE,FALSE,0,FALSE,2016-07-25 10:27:22,0
"36",2016-07-25 14:22:17,TRUE,FALSE,0,FALSE,2016-07-25 14:22:17,0
"37",2016-07-26 10:14:29,FALSE,FALSE,0,FALSE,2016-07-26 10:14:29,0
"38",2016-07-26 15:19:48,TRUE,FALSE,0,FALSE,2016-07-26 15:19:48,0
"39",2016-07-27 10:14:56,FALSE,FALSE,0,FALSE,2016-07-27 10:14:56,0
"40",2016-07-27 15:13:50,TRUE,FALSE,0,FALSE,2016-07-27 15:13:50,0
"41",2016-07-28 10:22:24,FALSE,FALSE,0,FALSE,2016-07-28 10:22:24,0
"42",2016-07-28 15:39:18,TRUE,FALSE,0,FALSE,2016-07-28 15:39:18,0
"43",2016-07-29 10:39:30,FALSE,FALSE,0,FALSE,2016-07-29 10:39:30,0
"44",2016-07-29 15:52:19,TRUE,FALSE,0,FALSE,2016-07-29 15:52:19,0
"45",2016-07-30 10:14:31,FALSE,FALSE,0,FALSE,2016-07-30 10:14:31,0
"46",2016-07-30 16:16:57,TRUE,FALSE,0,FALSE,2016-07-30 16:16:57,0
"47",2016-07-31 10:10:37,FALSE,FALSE,0,FALSE,2016-07-31 10:10:37,0
"48",2016-07-31 16:24:12,TRUE,FALSE,0,FALSE,2016-07-31 16:24:12,0
"49",2016-08-01 10:04:31,FALSE,FALSE,0,FALSE,2016-08-01 10:04:31,0
"50",2016-08-01 16:09:51,TRUE,FALSE,0,FALSE,2016-08-01 16:09:51,0
"51",2016-08-02 10:17:02,FALSE,FALSE,0,FALSE,2016-08-02 10:17:02,0
"52",2016-08-02 16:39:52,TRUE,FALSE,0,FALSE,2016-08-02 16:39:52,0
"53",2016-08-03 10:20:50,FALSE,FALSE,0,FALSE,2016-08-03 10:20:50,0
"54",2016-08-03 18:04:03,TRUE,FALSE,0,FALSE,2016-08-03 18:04:03,0
"55",2016-08-04 10:31:14,FALSE,FALSE,0,FALSE,2016-08-04 10:31:14,0
"56",2016-08-04 18:07:08,TRUE,FALSE,0,FALSE,2016-08-04 18:07:08,0
"57",2016-08-05 10:42:28,FALSE,FALSE,0,FALSE,2016-08-05 10:42:28,0
"58",2016-08-05 18:07:49,TRUE,FALSE,0,FALSE,2016-08-05 18:07:49,0
"59",2016-08-06 10:35:41,FALSE,FALSE,0,FALSE,2016-08-06 10:35:41,0
"60",2016-08-06 18:31:18,TRUE,FALSE,0,FALSE,2016-08-06 18:31:18,0
"61",2016-08-07 10:22:49,FALSE,FALSE,0,FALSE,2016-08-07 10:22:49,0
"62",2016-08-07 18:47:26,TRUE,FALSE,0,FALSE,2016-08-07 18:47:26,0
"63",2016-08-08 10:27:55,FALSE,FALSE,0,FALSE,2016-08-08 10:27:55,0
"64",2016-08-08 18:46:19,TRUE,FALSE,0,FALSE,2016-08-08 18:46:19,0
"65",2016-08-09 10:10:42,FALSE,FALSE,0,FALSE,2016-08-09 10:10:42,0
"66",2016-08-09 19:05:25,TRUE,FALSE,0,FALSE,2016-08-09 19:05:25,0
"67",2016-08-10 10:23:00,FALSE,FALSE,0,FALSE,2016-08-10 10:23:00,0
